1,Item,Page 17-18,Categories,Product Type,Name,Style,Display Name,Feature,Filter Tag,Short Description,Group Components,Long Description,CTN,Shipping Weight (LB),Product Dimension (Inch),Material,Material %1,Material %2,Size,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
7755,CM-BN6195BG,873,Living,Bench,HILDA,Contemporary,,,,"Bench, Beige",,"Furniture of America HILDA Contemporary Bench, Beige",1,67.5,"62""W X 24""D X 30 1/2""H (Seat Ht: 17"", Seat Dp: 19"")",,100% Polyester,,0,CM-BN6195BG.jpg,Beige,Contemporary Style,Padded Linen w/ Nailhead Trim,Button Tufted,Black Legs,"Solid Wood, Others",Available in 2 Colors,,,,,"This gorgeous backed bench is as stylish as it is comfortable. Unwind on the relaxing seat when you first enter your home or take a quick breather in the mornings by your bedside. Boasting padded linen upholstery with button tufted accents, this piec e will offer a cozy resting place in any setting. -"
7756,CM-BN6195GY,873,Living,Bench,HILDA,Contemporary,,,,"Bench, Gray",,"Furniture of America HILDA Contemporary Bench, Gray",1,67.52,"62""W X 24""D X 30 1/2""H (Seat Ht: 17"", Seat Dp: 19"")",,100% Polyester,,0,CM-BN6195GY.jpg,Gray,Contemporary Style,Padded Linen w/ Nailhead Trim,Button Tufted,Black Legs,"Solid Wood, Others",Available in 2 Colors,,,,,"This gorgeous backed bench is as stylish as it is comfortable. Unwind on the relaxing seat when you first enter your home or take a quick breather in the mornings by your bedside. Boasting padded linen upholstery with button tufted accents, this piec e will offer a cozy resting place in any setting. -"
7757,CM-BN6199BL,873,Living,Bench,WESBY,Contemporary,,,,"Bench, Blue",,"Furniture of America WESBY Contemporary Bench, Blue",1,15.4,"35""W X 16 7/8""D X 18 3/8""H","Fabric, Solid Wood & Others",100% Polyester,,0,CM-BN6199BL.jpg,Blue,Contemporary Style,Nailhead Trim,Black Legs,Leatherette or Flax Fabric,Solid Wood & Others,Available in 7 Colors,,,,,"Sporting a contemporary design in either flax fabric upholstery or stylish leatherette, this bench offers luxury paired with comfort. Available in two sizes and seven colors. - -"
7758,CM-BN6199IV,873,Living,Bench,WESBY,Contemporary,,,,"Bench, Ivory",,"Furniture of America WESBY Contemporary Bench, Ivory",1,15.4,"35""W X 16 7/8""D X 18 3/8""H","Fabric, Solid Wood & Others",100% Polyester,,0,CM-BN6199IV.jpg,Ivory,Contemporary Style,Nailhead Trim,Black Legs,Leatherette or Flax Fabric,Solid Wood & Others,Available in 7 Colors,,,,,"Sporting a contemporary design in either flax fabric upholstery or stylish leatherette, this bench offers luxury paired with comfort. Available in two sizes and seven colors. - -"
7759,CM-BN6199YW,873,Living,Bench,WESBY,Contemporary,,,,"Bench, Yellow",,"Furniture of America WESBY Contemporary Bench, Yellow",1,15.4,"35""W X 16 7/8""D X 18 3/8""H","Fabric, Solid Wood & Others",100% Polyester,,0,CM-BN6199YW.jpg,Yellow,Contemporary Style,Nailhead Trim,Black Legs,Leatherette or Flax Fabric,Solid Wood & Others,Available in 7 Colors,,,,,"Sporting a contemporary design in either flax fabric upholstery or stylish leatherette, this bench offers luxury paired with comfort. Available in two sizes and seven colors. - -"
7760,CM-BN6704BR,873,Living,Bench,SOFIE,Contemporary,,,,"Bench, Brown",,"Furniture of America SOFIE Contemporary Bench, Brown",1,29.48,"40""W X 18""D X 18""H",,,,0,CM-BN6704BR.jpg,Brown,Contemporary Style,Padded Fabric,Button Tufted,Clear Acrylic Legs,Solid Wood & Others*,Brown,,,,,
7761,CM-BN6704GY,873,Living,Bench,SOFIE,Contemporary,,,,"Bench, Gray",,"Furniture of America SOFIE Contemporary Bench, Gray",1,29.48,"40""W X 18""D X 18""H",,,,0,CM-BN6704GY.jpg,Gray,Contemporary Style,Padded Fabric,Button Tufted,Clear Acrylic Legs,Solid Wood & Others*,Gray,,,,,
7762,CM-BN6704TL,873,Living,Bench,SOFIE,Contemporary,,,,"Bench, Teal",,"Furniture of America SOFIE Contemporary Bench, Teal",1,29.48,"40""W X 18""D X 18""H",,,,0,CM-BN6704TL.jpg,Teal,Contemporary Style,Padded Fabric,Button Tufted,Clear Acrylic Legs,Solid Wood & Others*,Teal,,,,,
7763,CM-AC6900BK,876,Living,Ottoman,LAXI,Contemporary,,,,"Ottoman, Black",,"Furniture of America LAXI Contemporary Ottoman, Black",1,17.6,"19 5/8""L X 17 3/4""W X 17 3/4""H","Chrome, Leatherette",,,0,CM-AC6900.jpg,Black,Contemporary Style,Padded Leatherette Seat,Swivel Chair,Chrome Base,Available in 4 Colors,,,,,,"Ultra modern, and upholstered in cool white leatherette, this accent chair has an easy hammock style and a swivel, chrome base. Available in four colors - -"
7764,CM-AC6900CR,876,Living,Ottoman,LAXI,Contemporary,,,,"Ottoman, Caramel",,"Furniture of America LAXI Contemporary Ottoman, Caramel",1,17.6,"19 5/8""L X 17 3/4""W X 17 3/4""H","Chrome, Leatherette",,,0,CM-AC6900.jpg,Caramel,Contemporary Style,Padded Leatherette Seat,Swivel Chair,Chrome Base,Available in 4 Colors,,,,,,"Ultra modern, and upholstered in cool white leatherette, this accent chair has an easy hammock style and a swivel, chrome base. Available in four colors - -"
7765,CM-AC6900GY,876,Living,Ottoman,LAXI,Contemporary,,,,"Ottoman, Gray",,"Furniture of America LAXI Contemporary Ottoman, Gray",1,17.6,"19 5/8""L X 17 3/4""W X 17 3/4""H","Chrome, Leatherette",,,0,CM-AC6900.jpg,Gray,Contemporary Style,Padded Leatherette Seat,Swivel Chair,Chrome Base,Available in 4 Colors,,,,,,"Ultra modern, and upholstered in cool white leatherette, this accent chair has an easy hammock style and a swivel, chrome base. Available in four colors - -"
7766,CM-AC6900RD,876,Living,Ottoman,LAXI,Contemporary,,,,"Ottoman, Burgundy",,"Furniture of America LAXI Contemporary Ottoman, Burgundy",1,17.6,"19 5/8""L X 17 3/4""W X 17 3/4""H","Chrome, Leatherette",,,0,CM-AC6900RD-GY.jpg,Burgundy,Contemporary Style,Padded Leatherette Seat,Swivel Chair,Chrome Base,Available in 4 Colors,,,,,,"Ultra modern, and upholstered in cool white leatherette, this accent chair has an easy hammock style and a swivel, chrome base. Available in four colors - -"
