1,Item,,Description,Qty Now,Qty Coming in 7 Days,Qty Coming in 30 Days,,,,Cat 15-16,,Cat 16-17,,
9584,CM7431EK-HB,,"E.KING BED HEADBOARD, 39 PC. SLATS (18-P105)",13,,,,,841403142498,103,,105,,D
9597,CM7432CK-HB,,Cal.King Bed Headboard (17-P92),8,,,,,841403135810,92,,DSC,,D
9602,CM7432EK-HB,,E.King Bed Headboard (17-P92),8,,,,,841403135780,92,,DSC,,D
9604,CM7432M,,Mirror (17-P92),,,,,,841403135896,92,,DSC,,D
9611,CM7432Q-HB,,Queen Bed Headboard (17-P92),30,,,,,841403135841,92,,DSC,,D
9614,CM7433BG-CK-FBR,,Cal.King Bed Footboard Rail (17-P129),,,,,,841403142122,129,,DSC,,D
9615,CM7433BG-CK-HB,,"Cal.King Bed Headboard, 39 Pc. Slats (17-P129)",,,,,,841403142115,129,,DSC,,D
9617,CM7433BG-EK-FBR,,E.King Bed Footboard Rail (17-P129),,,,,,841403142108,129,,DSC,,D
9618,CM7433BG-EK-HB,,"E.King Bed Headboard, 39 Pc. Slats (17-P129)",,,,,,841403142092,129,,DSC,,D
9620,CM7433BG-F-FBR,,Full Bed Footboard Rail (17-P129),,,,,,841403142160,129,,DSC,,D
9621,CM7433BG-F-HB,,Full Bed Headboard 26 Pc. Slats (17-P129),,,,,,841403142153,129,,DSC,,D
9623,CM7433BG-Q-FBR,,Queen Bed Footboard Rail (17-P129),,,,,,841403142146,129,,DSC,,D
9624,CM7433BG-Q-HB,,Queen Bed Headboard 26 Pc. Slats (17-P129),,,,,,841403142139,129,,DSC,,D
9626,CM7433BG-T-FBR,,Twin Bed Footboard Rail (17-P129),,,,,,841403142184,129,,DSC,,D
9627,CM7433BG-T-HB,,Twin Bed Headboard (17-P129),,,,,,841403142177,129,,DSC,,D
9629,CM7433BR-CK-FBR,,Cal.King Bed Footboard Rail (17-P129),,,,,,841403142023,129,,DSC,,D
9630,CM7433BR-CK-HB,,"Cal.King Bed Headboard, 39 Pc. Slats (17-P129)",,,,,,841403142016,129,,DSC,,D
9632,CM7433BR-EK-FBR,,E.King Bed Footboard Rail (17-P129),,,,,,841403142009,129,,DSC,,D
9633,CM7433BR-EK-HB,,"E.King Bed Headboard, 39 Pc. Slats (17-P129)",,,,,,841403141996,129,,DSC,,D
9635,CM7433BR-F-FBR,,Full Bed Footboard Rail (17-P129),,,,,,841403142061,129,,DSC,,D
9636,CM7433BR-F-HB,,Full Bed Headboard 26 Pc. Slats (17-P129),,,,,,841403142054,129,,DSC,,D
9638,CM7433BR-Q-FBR,,Queen Bed Footboard Rail (17-P129),,,,,,841403142047,129,,DSC,,D
9639,CM7433BR-Q-HB,,Queen Bed Headboard 26 Pc. Slats (17-P129),,,,,,841403142030,129,,DSC,,D
9641,CM7433BR-T-FBR,,Twin Bed Footboard Rail (17-P129),,,,,,841403142085,129,,DSC,,D
9642,CM7433BR-T-HB,,Twin Bed Headboard (17-P129),,,,,,841403142078,129,,DSC,,D
9654,CM7448CK-FB,,Cal.King Bed Footboard (17-P46),43,,,,,841403133496,46,,DSC,,D
9655,CM7448CK-HB,,Cal.King Bed Headboard (17-P46),43,,,,,841403133489,46,,DSC,,D
9656,CM7448CK-R,,Cal.King Bed Rail (17-P46),43,,,,,841403133502,46,,DSC,,D
9658,CM7448EK-FB,,E.King Bed Footboard (17-P46),40,,,,,841403133465,46,,DSC,,D
9659,CM7448EK-HB,,E.King Bed Headboard (17-P46),39,,,,,841403133458,46,,DSC,,D
9660,CM7448EK-R,,E.King Bed Rail (17-P46),40,,,,,841403133472,46,,DSC,,D
9662,CM7448Q-5PC-2NS,,Queen Bed + 2NS + Dresser + Mirror (17-P46),11,,,,,18478,46,,DSC,,D
9663,CM7448Q-5PC-CHEST,,Queen Bed + 1NS + Dresser + Mirror + Chest (17-P46),11,,,,,18479,46,,DSC,,D
9665,CM7448Q-FB,,Queen Bed Footboard (17-P46),83,,,,,841403133526,46,,DSC,,D
9666,CM7448Q-HB,,Queen Bed Headboard (17-P46),78,,,,,841403133519,46,,DSC,,D
9667,CM7448Q-R,,Queen Bed Rail (17-P46),83,,,,,841403133533,46,,DSC,,D
9724,CM7481C,,Chest (17-P64),42,,,,,841403135643,64,,DSC,,D
9726,CM7481CK-FB,,"Cal.King Bed Footboard, 4 Pc. Slats (17-P64)",43,,,,,841403135568,64,,DSC,,D
9727,CM7481CK-HB,,Cal.King Bed Headboard (17-P64),43,,,,,841403135551,64,,DSC,,D
9728,CM7481CK-R,,Cla King Bed Rail (17-P64),44,,,,,841403135575,64,,DSC,,D
9729,CM7481D,,Dresser (17-P64),64,,,,,841403135629,64,,DSC,,D
9731,CM7481EK-FB,,"E.King Bed Footboard, 4 Pc. Slats (17-P64)",49,,,,,841403135537,64,,DSC,,D
9732,CM7481EK-HB,,E.King Bed Headboard (17-P64),50,,,,,841403135520,64,,DSC,,D
9733,CM7481EK-R,,E.King Bed Rail (17-P64),49,,,,,841403135544,64,,DSC,,D
9734,CM7481M,,Mirror (17-P64),87,,,,,841403135636,64,,DSC,,D
9735,CM7481N,,Night Stand (17-P64),213,,,,,841403135612,64,,DSC,,D
9740,CM7481Q-FB,,"Queen Bed Footboard, 4 Pc. Slats (17-P64)",99,,,,,841403135599,64,,DSC,,D
9741,CM7481Q-HB,,Queen Bed Headboard (17-P64),94,,,,,841403135582,64,,DSC,,D
9742,CM7481Q-R,,Queen Bed Rail (17-P64),101,,,,,841403135605,64,,DSC,,D
9745,CM7483CK-FB,,"Cal.King Bed Footboard, 4 Pc. Slats (17-P45)",52,,,,,841403135698,45,,DSC,,D
9746,CM7483CK-HB,,Cal.King Bed Headboard (17-P45),51,,,,,841403135681,45,,DSC,,D
9747,CM7483CK-R,,Cal.King Bed Rail (17-P45),54,,,,,841403135704,45,,DSC,,D
9750,CM7483EK-FB,,"E.King Bed Footboard, 4 Pc. Slats (17-P45)",24,,,,,841403135667,45,,DSC,,D
9751,CM7483EK-HB,,E.King Bed Headboard (17-P45),24,,,,,841403135650,45,,DSC,,D
9752,CM7483EK-R,,E.King Bed Rail (17-P45),24,,,,,841403135674,45,,DSC,,D
9759,CM7483Q-FB,,Queen Bed Headboard (17-P45),35,,,,,841403135728,45,,DSC,,D
9760,CM7483Q-HB,,Queen Bed Headboard (17-P45),32,,,,,841403135711,45,,DSC,,D
9761,CM7483Q-R,,Queen Bed Rail (17-P45),31,,,,,841403135735,45,,DSC,,D
9926,CM7516CK-FB,,Cal.King Bed Footboard (17-P122),13,,,,,841403143075,122,,DSC,,D
9927,CM7516CK-HB,,Cal.King Bed Headboard (17-P122),13,,,,,841403143068,122,,DSC,,D
9928,CM7516CK-R,,Cal.King Bed Rail (17-P122),13,,,,,841403143082,122,,DSC,,D
9930,CM7516EK-FB,,E.King Bed Footboard (17-P122),8,,,,,841403143044,122,,DSC,,D
9931,CM7516EK-HB,,E.King Bed Sizeheadboard (17-P122),8,,,,,841403143037,122,,DSC,,D
9932,CM7516EK-R,,E.King Bed Rail (17-P122),8,,,,,841403143051,122,,DSC,,D
9934,CM7516F-FB,,Full Bed Footboard (17-P122),8,,,,,841403143136,122,,DSC,,D
9935,CM7516F-HB,,Full Bed Headboard (17-P122),8,,,,,841403143129,122,,DSC,,D
9936,CM7516F-R,,Full Bed Rail (17-P122),8,,,,,841403143143,122,,DSC,,D
9938,CM7516Q-FB,,Queen Bed Footboard (17-P122),12,,,,,841403143105,122,,DSC,,D
9939,CM7516Q-HB,,Queen Bed Headboard (17-P122),12,,,,,841403143099,122,,DSC,,D
9940,CM7516Q-R,,Queen Bed Rail (17-P122),12,,,,,841403143112,122,,DSC,,D
9957,CM7531C,,"CHEST W/ FAUX MARBLE TOP, CHERRY FINISH (15-P107)",,,,,,847289042006,.,,.,,D
9958,CM7531D,,"DRESSER W/ FAUX MARBLE TOP, CHERRY FINISH (15-P107)",,,,,,847289041986,.,,.,,D
9959,CM7531M,,"MIRROR, CHERRY FINISH (15-P107)",10,,,,,847289041993,.,,.,,D
9960,CM7531N,,"NIGHT STAND W/ FAUX MARBLE TOP, CHERRY FINISH (15-P107)",,,,,,847289041979,.,,.,,D
10090,CM7558C,,"Chest, dark oak finish (16-P60)",,,,,,841403103727,DSC,,.,,D
10091,CM7558CK-BED,,CAL.KING BED (16-P60),50,,,,,16517,DSC,,.,,D
10092,CM7558CK-FB,,"Ck size bed FB, dark oak finish (16-P60)",50,,,,,841403103642,DSC,,.,,D
10093,CM7558CK-HB,,"Ck size bed HB, dark oak finish (16-P60)",53,,,,,841403103635,DSC,,.,,D
10094,CM7558CK-R,,"CK size bed rail, 4 pcs slats, dark oak finish (16-P60)",53,,,,,841403103659,DSC,,.,,D
10095,CM7558D,,"Dresser, dark oak finish (16-P60)",153,,,,,841403103703,DSC,,.,,D
10096,CM7558EK-BED,,E.KING BED (16-P60),44,,,,,16518,DSC,,.,,D
10097,CM7558EK-FB,,"EK size bed FB, dark oak finish (16-P60)",44,,,,,841403103611,DSC,,.,,D
10098,CM7558EK-HB,,"EK size bed HB, Dark oak finish (16-P60)",46,,,,,841403103604,DSC,,.,,D
10099,CM7558EK-R,,"EK size bed rail, 4 pcs slats, dark oak finish (16-P60)",44,,,,,841403103628,DSC,,.,,D
10100,CM7558M,,"5mm Beveled mirror, dark oak finish (16-P60)",139,,,,,841403103710,DSC,,.,,D
10101,CM7558MM,,5mm beveled mirror with metal frame (16-SUP-P033),56,,,,,841403122995,DSC,,.,,D
10102,CM7558N,,"Night stand, dark oak finish (16-P60)",327,,,,,841403103697,DSC,,.,,D
10109,CM7558Q-BED,,QUEEN BED (16-P60),71,,,,,16522,DSC,,.,,D
10110,CM7558Q-FB,,"Q size bed FB, dark oak finish (16-P60)",77,,,,,841403103673,DSC,,.,,D
10111,CM7558Q-HB,,"Q size bed HB, dark oak finish (16-P60)",71,,,,,841403103666,DSC,,.,,D
10112,CM7558Q-R,,"Q size bed rail, 4 pcs slats, dark oak finish (16-P60)",77,,,,,841403103680,DSC,,.,,D
10113,CM7558TV,,Media Chest (17-P808),27,,,,,841403103734,808,,DSC,,D
10114,CM7559AR-1,,Armoire Top (17-P915),,,,,,841403146625,915,,DSC,,D
10115,CM7559AR-2,,Armoire Base (17-P915),,,,,,841403146632,915,,DSC,,D
10117,CM7559C,,Chest (17-P58),36,,,,,841403134882,58,,DSC,,D
10119,CM7559CK-FB,,Cal.King Bed Footboard (17-P58),,,,,,841403134806,58,,DSC,,D
10120,CM7559CK-HB,,Cal.King Bed Headboard (17-P58),,,,,,841403134790,58,,DSC,,D
10121,CM7559CK-R,,Cal.King Bed Rail (17-P58),,,,,,841403134813,58,,DSC,,D
10122,CM7559D,,Dresser (17-P58),28,,,,,841403134868,58,,DSC,,D
10124,CM7559EK-FB,,E.King Bed Footboard (17-P58),,,,,,841403134776,58,,DSC,,D
10125,CM7559EK-HB,,E.King Bed Headboard (17-P58),,,,,,841403134769,58,,DSC,,D
10126,CM7559EK-R,,E.King Bed Rail (17-P58),,,,,,841403134783,58,,DSC,,D
10128,CM7559F-CK-FB,,Cal.King Bed Footboard (17-P59),8,,,,,841403134936,59,,DSC,,D
10129,CM7559F-CK-HB,,Cal.King Bed Headboard (17-P59),8,,,,,841403134929,59,,DSC,,D
10130,CM7559F-CK-R,,Cal.King Bed Rail (17-P59),9,,,,,841403134943,59,,DSC,,D
10132,CM7559F-EK-FB,,E.King Bed Footboard (17-P59),,,,,,841403134905,59,,DSC,,D
10133,CM7559F-EK-HB,,E.King Bed Headboard (17-P59),,,,,,841403134899,59,,DSC,,D
10134,CM7559F-EK-R,,E.King Bed Rail (17-P59),6,,,,,841403134912,59,,DSC,,D
10139,CM7559F-Q-FB,,Queen Bed Footboard (17-P59),11,,,,,841403134967,59,,DSC,,D
10140,CM7559F-Q-HB,,Queen Bed Headboard (17-P59),11,,,,,841403134950,59,,DSC,,D
10141,CM7559F-Q-R,,Queen Bed Rail (17-P59),12,,,,,841403134974,59,,DSC,,D
10142,CM7559M,,Mirror (17-P58),34,,,,,841403134875,58,,DSC,,D
10143,CM7559N,,Night Stand (17-P58),113,,,,,841403134851,58,,DSC,,D
10148,CM7559Q-FB,,Queen Bed Footboard (17-P58),22,,,,,841403134837,58,,DSC,,D
10149,CM7559Q-HB,,Queen Bed Headboard (17-P58),19,,,,,841403134820,58,,DSC,,D
10150,CM7559Q-R,,Queen Bed Rail (17-P58),24,,,,,841403134844,58,,DSC,,D
10173,CM7576CK-FB,,Cal.King Bed Footboard (17-P16),,,,,,841403131225,16,,DSC,,D
10174,CM7576CK-FBDR,,Cal.King Bed Footboard w/ Drawers (17-P17),,,,,,841403121400,17,,DSC,,D
10175,CM7576CK-HB,,Cal.King Bed Headboard (17-P16),,,,,,841403121394,16,,DSC,,D
10176,CM7576CK-R12,,Cal.King Bed Rail (17-P17),,,,,,841403121417,17,,DSC,,D
10177,CM7576CK-R4,,Cal.King Bed Rail (17-P16),,,,,,841403131232,16,,DSC,,D
10186,CM7576EK-FB,,E.King Bed Footboard (17-P16),27,,,,,841403131201,16,,DSC,,D
10187,CM7576EK-FBDR,,E.King Bed Footboard w/ Drawers (17-P17),17,,,,,841403121370,17,,DSC,,D
10188,CM7576EK-HB,,E.King Bed Headboard (17-P17),40,,,,,841403121363,17,,DSC,,D
10189,CM7576EK-R12,,E.King Bed Rail (17-P17),19,,,,,841403121387,17,,DSC,,D
10190,CM7576EK-R4,,E.King Bed Rail (17-P16),26,,,,,841403131218,16,,DSC,,D
10197,CM7576Q-FB,,Queen Bed Footboard (17-P16),11,,,,,841403131249,16,,DSC,,D
10198,CM7576Q-FBDR,,Queen Bed Footboard w/ Drawers (17-P17),32,,,,,841403121431,17,,DSC,,D
10199,CM7576Q-HB,,Queen Bed Headboard (17-P17),40,,,,,841403121424,17,,DSC,,D
10200,CM7576Q-R12,,Queen Bed Rail (17-P17),32,,,,,841403121448,17,,DSC,,D
10201,CM7576Q-R4,,Queen Bed Rail (17-P16),10,,,,,841403131256,16,,DSC,,D
10354,CM7583CH-5PC,,TWIN BED + TRUNDLE + DRESSER + MIRROR + 1NS (15-P144),,,,,,6922,.,,.,,D
10359,CM7585C,,Chest (17-P27),24,,,,,841403121790,27,,DSC,,D
10361,CM7585CK-FB,,Cal.King Bed Footboard (17-P27),14,,,,,841403121684,27,,DSC,,D
10362,CM7585CK-HB,,Cal.King Bed Headboard (17-P27),14,,,,,841403121677,27,,DSC,,D
10363,CM7585CK-R,,Cal.King Bed Rail (17-P27),10,,,,,841403121691,27,,DSC,,D
10364,CM7585D,,Dresser (17-P27),,,,,,841403121776,27,,DSC,,D
10366,CM7585EK-FB,,E.King Bed Footboard (17-P27),15,,,,,841403121653,27,,DSC,,D
10367,CM7585EK-HB,,E.King Bed Headboard (17-P27),16,,,,,841403121646,27,,DSC,,D
10368,CM7585EK-R,,E.King Bed Rail (17-P27),10,,,,,841403121660,27,,DSC,,D
10370,CM7585F-FB,,Full Bed Footboard (17-P27),,,,,,841403121745,27,,DSC,,D
10371,CM7585F-HB,,Full Bed Headboard (17-P27),,,,,,841403121738,27,,DSC,,D
10372,CM7585F-R,,Full Bed Rail (17-P27),,,,,,841403121752,27,,DSC,,D
10373,CM7585M,,Mirror (17-P27),36,,,,,841403121783,27,,DSC,,D
10374,CM7585N,,Night Stand (17-P27),,,,,,841403121769,27,,DSC,,D
10379,CM7585Q-FB,,Queen Bed Footboard (17-P27),30,,,,,841403121714,27,,DSC,,D
10380,CM7585Q-HB,,Queen Bed Headboard (17-P27),29,,,,,841403121707,27,,DSC,,D
10381,CM7585Q-R,,Queen Bed Rail (17-P27),29,,,,,841403121721,27,,DSC,,D
10382,CM7586C,,Chest (17-P27),35,,,,,841403122551,27,,DSC,,D
10384,CM7586CK-FB,,Cal.King Bed Footboard (17-P27),23,,,,,841403122445,27,,DSC,,D
10385,CM7586CK-HB,,Cal.King Bed Headboard (17-P27),22,,,,,841403122438,27,,DSC,,D
10386,CM7586CK-R,,Cal.King Bed Rail (17-P27),23,,,,,841403122452,27,,DSC,,D
10387,CM7586D,,Dresser (17-P27),88,,,,,841403122537,27,,DSC,,D
10389,CM7586EK-FB,,E.King Bed Footboard (17-P27),33,,,,,841403122414,27,,DSC,,D
10390,CM7586EK-HB,,E.King Bed Headboard (17-P27),33,,,,,841403122407,27,,DSC,,D
10391,CM7586EK-R,,E.King Bed Rail (17-P27),33,,,,,841403122421,27,,DSC,,D
10393,CM7586F-FB,,Full Bed Footboard (17-P27),25,,,,,841403122506,27,,DSC,,D
10394,CM7586F-HB,,Full Bed Headboard (17-P27),25,,,,,841403122490,27,,DSC,,D
10395,CM7586F-R,,Full Bed Rail (17-P27),25,,,,,841403122513,27,,DSC,,D
10396,CM7586M,,Mirror (17-P27),69,,,,,841403122544,27,,DSC,,D
10397,CM7586N,,Night Stand (17-P27),186,,,,,841403122520,27,,DSC,,D
10402,CM7586Q-FB,,Queen Bed Footboard (17-P27),51,,,,,841403122476,27,,DSC,,D
10403,CM7586Q-HB,,Queen Bed Headboard (17-P27),51,,,,,841403122469,27,,DSC,,D
10404,CM7586Q-R,,Queen Bed Rail (17-P27),49,,,,,841403122483,27,,DSC,,D
10406,CM7587CK-BED,,"CAL.KING BED, BROWN CHERRY FINISH (15-P9)",,,,,,6928,.,,.,,D
10407,CM7587CK-FB-2,,"Cal King size bed FB panel, Brown Cherry finish (15-P9)",,,,,,847289076988,.,,.,,D
10408,CM7587CK-HB-1,,"Cal. King size bed HB panel, 4 slats, Brown Cherry finish (15-P9)",,,,,,847289076971,.,,.,,D
10409,CM7587CK-P-4,,"Cal King size bed HB & FB Post, Brown Cherry finish (15-P9)",,,,,,847289079897,.,,.,,D
10410,CM7587CK-R-3,,"Cal King size bed rails, Brown Cherry finish (15-P9)",,,,,,847289076995,.,,.,,D
10412,CM7587EK-BED,,"E.KING BED, BROWN CHERRY FINISH (15-P9)",,,,,,6934,.,,.,,D
10413,CM7587EK-FB-2,,"E King size bed FB panel, Brown Cherry finish (15-P9)",,,,,,847289076957,.,,.,,D
10414,CM7587EK-HB-1,,"E King size bed HB panel, 4 slats, Brown Cherry finish (15-P9)",,,,,,847289076940,.,,.,,D
10415,CM7587EK-P-4,,"E King size bed HB & FB Post, Brown Cherry finish (15-P9)",,,,,,847289079880,.,,.,,D
10416,CM7587EK-R-3,,"E King size bed rails, Brown Cherry finish (15-P9)",,,,,,847289076964,.,,.,,D
10419,CM7587Q-4PC,,"QUEEN BED + NS + DRESSER + MIRROR, BROWN CHERRY FINISH (15-P9)",,,,,,6941,.,,.,,D
10420,CM7587Q-5PC-2NS,,"QUEEN BED + 2NS + DRESSER + MIRROR, BROWN CHERRY FINISH (15-P9)",,,,,,6942,.,,.,,D
10421,CM7587Q-5PC-CHEST,,"QUEEN BED + NS + DRESSER + MIRROR + CHEST, BROWN CHERRY FINISH (15-P9)",,,,,,6943,.,,.,,D
10422,CM7587Q-BED,,"QUEEN BED, BROWN CHERRY FINISH (15-P9)",,,,,,6944,.,,.,,D
10423,CM7587Q-FB-2,,"Queen size bed HB/FB Leg post, finial, Brown Cherry finish (15-P9)",,,,,,847289077015,.,,.,,D
10424,CM7587Q-HB-1,,"Queen size bed HB panel, 3 slats, Brown Cherry finish (15-P9)",,,,,,847289077008,.,,.,,D
10425,CM7587Q-P-4,,"Queen size bed HB & FB Post, Brown Cherry finish (15-P9)",,,,,,847289079903,.,,.,,D
10426,CM7587Q-R-3,,"Queen size bed rails, Brown Cherry finish (15-P9)",,,,,,847289077022,.,,.,,D
10621,CM7600C,,Chest (17-P96),86,,,,,847289042914,96,,DSC,,D
10623,CM7600CK-FB,,Cal.King Bed (17-P96),57,,,,,847289042808,96,,DSC,,D
10624,CM7600CK-HB,,Cal.King Bed (17-P96),53,,,,,847289042792,96,,DSC,,D
10625,CM7600CK-R,,Cal.King Bed (17-P96),53,,,,,847289042815,96,,DSC,,D
10626,CM7600D,,Dresser (17-P96),110,,,,,847289042891,96,,DSC,,D
10628,CM7600EK-FB,,E.King Bed (17-P96),51,,,,,847289042778,96,,DSC,,D
10629,CM7600EK-HB,,E.King Bed (17-P96),47,,,,,847289042761,96,,DSC,,D
10630,CM7600EK-R,,E.King Bed (17-P96),50,,,,,847289042785,96,,DSC,,D
10632,CM7600F-FB,,Full Bed (17-P96),68,,,,,847289042860,96,,DSC,,D
10633,CM7600F-HB,,Full Bed (17-P96),64,,,,,847289042853,96,,DSC,,D
10634,CM7600F-R,,Full Bed (17-P96),68,,,,,847289042877,96,,DSC,,D
10635,CM7600M,,Mirror (17-P96),66,,,,,847289042907,96,,DSC,,D
10636,CM7600N,,Night Stand (17-P96),583,,,,,847289042884,96,,DSC,,D
10641,CM7600Q-FB,,Queen Bed (17-P96),98,,,,,847289042839,96,,DSC,,D
10642,CM7600Q-HB,,Queen Bed (17-P96),91,,,,,847289042822,96,,DSC,,D
10643,CM7600Q-R,,Queen Bed (17-P96),104,,,,,847289042846,96,,DSC,,D
10645,CM7601CK-FBR,,"Upholstered Cal King Size Bed Footboard & Rail, Sliver Finish (16-P93)",8,,,,,847289086833,DSC,,.,,D
10646,CM7601CK-HB,,"Cal.King Bed Headboard, 39 Pcs Short Slats + 2 Pcs Metal Long Slats, Sliver (16-P93)",9,,,,,847289086826,DSC,,.,,D
10648,CM7601EK-FBR,,"Upholstered Eastern King Size Bed Footboard & Rail, Sliver Finish (16-P93)",,,,,,847289086857,DSC,,.,,D
10649,CM7601EK-HB,,"E.King Bed Headboard, 39 Pcs Short Slats + 2 Pcs Metal Long Slats, Sliver (16-P93)",,,,,,847289086840,DSC,,.,,D
10651,CM7601F-FBR,,"Upholstered Full Size Bed Footboard & Rail, Sliver Finish (16-P93)",24,,,,,847289086895,DSC,,.,,D
10652,CM7601F-HB,,"Full Bed Headboard, 26 Pcs Short Slats + 1 Pc Metal Long Slats, Sliver (16-P93)",24,,,,,847289086888,DSC,,.,,D
10654,CM7601Q-FBR,,"Upholstered Queen Size Bed Footboard & Rail, Sliver Finish (16-P93)",28,,,,,847289086871,DSC,,.,,D
10655,CM7601Q-HB,,"Queen Bed Headboard, 26 Pcs Short Slats + 1 Pc Metal Long Slats, Sliver (16-P93)",34,,,,,847289086864,DSC,,.,,D
10657,CM7601T-FBR,,"Upholstered Twin Size Bed Footboard & Rail, Sliver Finish (16-P93)",10,,,,,847289086918,DSC,,.,,D
10658,CM7601T-HB,,"Upholstered Twin Size Bed Headboard, 13 Pcs Slats, Sliver Finish (16-P93)",10,,,,,847289086901,DSC,,.,,D
10660,CM7602BR-CK-HB/FB,,"Upholstered Cal King Size Bed Headboard & Low Footboard, 39 Pcs Slats, Brown Finish (16-P98)",,,,,,847289001515,DSC,,.,,D
10661,CM7602BR-CK-R,,"Upholstered Cal King Size Bed Rail, Brown Finish (16-P98)",,,,,,847289001522,DSC,,.,,D
10663,CM7602BR-EK-HB/FB,,"Upholstered Eastern King Size Bed Headboard & Low Footboard, 39 Pcs Slats, Brown Finish (16-P98)",6,,,,,847289001492,DSC,,.,,D
10664,CM7602BR-EK-R,,"Upholstered Eastern King Size Bed Rail, Brown Finish (16-P98)",6,,,,,847289001508,DSC,,.,,D
10666,CM7602BR-Q-HB/FB,,"Upholstered Queen Size Bed Headboard & Low Footboard, 26 Pcs Slats, Brown Finish (16-P98)",,,,,,847289001539,DSC,,.,,D
10667,CM7602BR-Q-R,,"Upholstered Queen Size Bed Rail, Brown Finish (16-P98)",,,,,,847289001546,DSC,,.,,D
10669,CM7602WH-CK-HB/FB,,"Upholstered Cal King Size Bed Headboard & Low Footboard, 39 Pcs Slats, Ivory Finish (16-P98)",,,,,,847289001577,DSC,,.,,D
10670,CM7602WH-CK-R,,"Upholstered Cal King Size Bed Rail, Ivory Finish (16-P98)",,,,,,847289001584,DSC,,.,,D
10672,CM7602WH-EK-HB/FB,,"Upholstered Eastern King Size Bed Headboard & Low Footboard, 39 Pcs Slats, Ivory Finish (16-P98)",,,,,,847289001553,DSC,,.,,D
10673,CM7602WH-EK-R,,"Upholstered Eastern King Size Bed Rail, Ivory Finish (16-P98)",,,,,,847289001560,DSC,,.,,D
10675,CM7602WH-Q-HB/FB,,"Upholstered Queen Size Bed Headboard & Low Footboard, 26 Pcs Slats, Ivory Finish (16-P98)",,,,,,847289001591,DSC,,.,,D
10676,CM7602WH-Q-R,,"Upholstered Queen Size Bed Rail, Ivory Finish (16-P98)",,,,,,847289001607,DSC,,.,,D
10678,CM7603BR-CK-HB/FB,,"Cal.King Bed Headboard, Footboard (17-P105)",,,,,,847289001393,105,,DSC,,D
10679,CM7603BR-CK-R,,Cal.King Bed Rail (17-P105),,,,,,847289001409,105,,DSC,,D
10681,CM7603BR-EK-HB/FB,,"E.King Bed Headboard, Footboard (17-P105)",,,,,,847289001379,105,,DSC,,D
10682,CM7603BR-EK-R,,E.King Bed Rail (17-P105),,,,,,847289001386,105,,DSC,,D
10684,CM7603BR-Q-HB/FB,,"Queen Bed Headboard, Footboard (17-P105)",,,,,,847289001416,105,,DSC,,D
10685,CM7603BR-Q-R,,Queen Bed Rail (17-P105),,,,,,847289001423,105,,DSC,,D
10687,CM7603WH-CK-HB/FB,,"Cal.King Bed Headboard, Footboard (17-P105)",,,,,,847289001454,105,,DSC,,D
10688,CM7603WH-CK-R,,Cal.King Bed Rail (17-P105),,,,,,847289001461,105,,DSC,,D
10690,CM7603WH-EK-HB/FB,,"E.King Bed Headboard, Footboard (17-P105)",,,,,,847289001430,105,,DSC,,D
10691,CM7603WH-EK-R,,E.King Bed Rail (17-P105),,,,,,847289001447,105,,DSC,,D
10693,CM7603WH-Q-HB/FB,,"Queen Bed Headboard, Footboard (17-P105)",,,,,,847289001478,105,,DSC,,D
10694,CM7603WH-Q-R,,Queen Bed Rail (17-P105),,,,,,847289001485,105,,DSC,,D
10696,CM7604GY-CK-FB,,Cal.King Bed Footboard (17-P115),11,,,,,847289095101,115,,DSC,,D
10697,CM7604GY-CK-HB,,"Cal.King Bed Headboard, 39 Pc. Slats (17-P115)",13,,,,,847289095095,115,,DSC,,D
10698,CM7604GY-CK-R,,Cal.King Bed Rail (17-P115),11,,,,,847289095118,115,,DSC,,D
10700,CM7604GY-EK-FB,,E.King Bed Footboard (17-P115),11,,,,,847289095071,115,,DSC,,D
10701,CM7604GY-EK-HB,,"E.King Bed Headboard, 39 Pc. Slats (17-P115)",13,,,,,847289095064,115,,DSC,,D
10702,CM7604GY-EK-R,,E.King Bed Rail (17-P115),12,,,,,847289095088,115,,DSC,,D
10704,CM7604GY-F-FB,,Full Bed Footboard (17-P115),9,,,,,847289095163,115,,DSC,,D
10705,CM7604GY-F-HB,,"Full Bed Headboard, 26 Pc. Slats (17-P115)",10,,,,,847289095156,115,,DSC,,D
10706,CM7604GY-F-R,,Full Bed Rail (17-P115),9,,,,,847289095170,115,,DSC,,D
10708,CM7604GY-Q-FB,,Queen Bed Footboard (17-P115),,,,,,847289095132,115,,DSC,,D
10709,CM7604GY-Q-HB,,"Queen Bed Headboard, 26 Pc. Slats (17-P115)",11,,,,,847289095125,115,,DSC,,D
10710,CM7604GY-Q-R,,Queen Bed Rail (17-P115),,,,,,847289095149,115,,DSC,,D
10711,CM7604GY-T-BED,,TWIN BED (15-P88),,,,,,7064,.,,.,,D
10712,CM7604GY-T-FB,,"Upholstered Twin Size Bed FB, Light Gray Finish (15-P88)",,,,,,847289095194,.,,.,,D
10713,CM7604GY-T-HB,,"Upholstered Twin Size Bed HB, Light Gray Finish (15-P88)",8,,,,,847289095187,.,,.,,D
10714,CM7604GY-T-R,,"Upholstered Twin Size Bed Rail,12 Pcs Slats, Light Gray Finish (15-P88)",7,,,,,847289095200,.,,.,,D
