1,Item,,Description,Qty Now,Qty Coming in 7 Days,Qty Coming in 30 Days,,,,Cat 15-16,,Cat 16-17,,
403,CM2707TL,,Sofa futon w/ dark teal flax fabric (16-P687),,,,,,847289007289,DSC,,.,,D
404,CM2715BL,,"Sofa bed in blue finish, flannelette#BY-7023-9  (16-P669)",,,,,,841403111883,DSC,,.,,D
405,CM2715PR,,"Sofa bed in purple finish, flannelette#BY-7023-11 (16-P669)",,,,,,841403111890,DSC,,.,,D
406,CM2715RD,,"Sofa bed in red finish, flannelette#BY-7023-7 (16-P669)",,,,,,841403111869,DSC,,.,,D
407,CM2715YW,,"Sofa bed in yellow finish, flannelette#BY-7023-30 (16-P669)",,,,,,841403111876,DSC,,.,,D
414,CM2901-CA,,"SOFA FUTON W/MICROFIBER, CAL. FOAM, MOCHA (16-P690)",,,,,,847289015246,DSC,,.,,D
426,CM2904LT,,"SOFA FUTON W/PLUSH FLANNELETTE FABRIC (CAL. FOAM), LIGHT BROWN FINISH (16-P679)",,,,,,847289048817,DSC,,.,,D
428,CM2904LT-CH,,"SINGLE SOFA CHAIR W/PLUSH FLANNELETTE FABRIC (CAL. FOAM), LIGHT BROWN (16-P679)",,,,,,847289048824,DSC,,.,,D
446,CM2908,,Corduroy Futon Sofa (17-P737),23,,30,05-15-2018,,847289043874,737,,DSC,,D
448,CM2908CH,,Corduroy Chair (17-P737),,,,,,847289043867,DSC,,.,,D
449,CM2908PR,,"Futon Sofa in Flannelette w/ 2 Support legs, Purple finish (16-P678)",19,,,05-23-2018,,847289077619,DSC,,.,,D
450,CM2908PR-2PC,,FUTON + CHAIR (15-P544),,,,,,617,.,,.,,D
451,CM2908PR-CE,,"Chaise in Flannelette, Purple finish (15-P544)",,,,,,847289077633,.,,.,,D
452,CM2908PR-CH,,"Chair in Flannelette w/ Extra Support leg, Purple finish (15-P544)",,,,,,847289077626,.,,.,,D
453,CM2910,,SOFA FUTON W/ELEPHANT SKIN MICROFIBER FABRIC (CAL FOAM) WITH 1 PCS SUPPORT LEG (15-P554),,,,,,847289056102,.,,.,,D
454,CM2913-CA,,PU SOFA FUTON - CA FOAM (15-P551),,,,,,847289015338,.,,.,,D
467,CM3007T-7PC,,"[DSC] REGULAR $296/SET, TABLE + 6 SIDE CHAIRS",,,,,,655,.,,.,,D
503,CM3025PT-5PK,,5 Pc. Counter Ht. Table Set (17-P450),,,,,,847289062233,450,,DSC,,D
504,CM3025T-5PK,,"5PC Dining table set, expresso finish (16-P369)",,,,,,847289062240,DSC,,.,,D
505,CM3026PT-5PC,,"COUNTER HT TABLE + 4 CHAIRS, OAK FINISH (15-P264)",,,,,,691,.,,.,,D
508,CM3026W-PT,,"48*48"" Counter height table, Light Oak finish (16-P415)",,,,,,847289001034,DSC,,.,,D
510,CM3026W-T,,"48*48"" Dining table Light Oak finish (16-P331)",,,,,,847289001027,DSC,,.,,D
511,CM3026W-T-5PC,,TABLE + 4 SIDE CHAIRS (16-P331),,,,,,698,DSC,,.,,D
513,CM3027RT-1,,Round Dining Table (17-P353),,,,,,847289058311,353,,DSC,,D
514,CM3027RT-2,,Round Dining Table (17-P353),9,,,,,847289058328,353,,DSC,,D
516,CM3027SC-2PK,,Side Chair (2/CTN) (17-P353),10,,13,05-10-2018,,847289058335,353,,DSC,,D
553,CM3093PC-2PK,,"PRIMROSE COUNTER HEIGHT CHAIR, DARK WALNUT FINISH (15-P359)",,,,,,847289015727,.,,.,,D
554,CM3093PT,,"PRIMROSE COUNTER HEIGHT TABLE WITH CREACKED GLASS INSERT, DARK WALNUT FINISH (15-P359)",,,,,,847289015734,.,,.,,D
555,CM3093PT-5PC,,TABLE + 4 COUNTER HEIGHT CHAIRS (15-P359),,,,,,756,.,,.,,D
556,CM3093PT-7PC,,TABLE + 6 COUNTER HEIGHT CHAIRS (15-P359),,,,,,757,.,,.,,D
557,CM3093SC-2PK,,"PRIMROSE SIDE CHAIR W/PU, DARK WALNUT FINISH (15-P262)",,,,,,847289015741,.,,.,,D
558,CM3093SV,,"PRIMROSE SERVER W/GLASS TOP, DARK WALNUT FINISH (15-P231)",,,,,,847289039549,.,,.,,D
559,CM3093T,,"PRIMROSE DINING TABLE WITH CRACKED GLASS INSERT, DARK WALNUT FINISH (15-P231)",,,,,,847289015758,.,,.,,D
560,CM3093T-5PC,,TABLE + 4 SIDE CHAIRS (15-P231),,,,,,761,.,,.,,D
561,CM3093T-70,,"PRIMROSE RECT DINING TABLE W/1*16 LEAF, DARK WALNUT FINISH ( = CM3093T-4071) (15-P231)",,,,,,847289039532,.,,.,,D
562,CM3093T-70-5PC,,TABLE (71 X 40) + 4 SIDE CHAIRS (15-P231),,,,,,763,.,,.,,D
563,CM3093T-70-7PC,,TABLE (71 X 40) + 6 SIDE CHAIRS (15-P231),,,,,,764,.,,.,,D
564,CM3093T-70-9PC,,TABLE (71 X 40) + 8 SIDE CHAIRS (15-P231),,,,,,765,.,,.,,D
565,CM3093T-7PC,,TABLE + 6 SIDE CHAIRS (15-P231),,,,,,766,.,,.,,D
566,CM3100AC-2PK,,[DSC] ARM CHAIR  (13-P235),,,,,,847289015789,.,,.,,D
