1,Item,Page 17-18,Categories,Sub-Categories,Tag #1,Group Item,Group Components,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
5560,CM3888PT-5PK,450,Dining,Counter Height Tables,,,,5 Pc. Counter Ht. Table Set,Furniture of America West Creek II Transitional 5 Pc. Counter Ht. Table Set,VN,1,45.5,45.5,11.5,13.8,141,"42""L X 42""W X 36""H, 18""L X 22""W X 40""H (Seat Ht: 24 3/4"", Seat Dp: 17"")",Transitional,"Leatherette, Solid Wood, Wood Veneer & Others",,,0,West Creek II,CM3888PT-5PK.jpg,Espresso,Transitional Style,Espresso Finish,Padded Microfiber Seat,"Solid Wood, Wood Veneer & Others",,,,,,,Padded leatherette chairs accent this square counter height table finished in espresso. A perfect addition to a small dining area or kitchen. - -
5561,CM3001PT-5PK,451,Dining,Counter Height Tables,,,,5 Pc. Counter Ht. Table Set,Furniture of America Eaton II Transitional 5 Pc. Counter Ht. Table Set,VN,1,45.5,45.5,11.5,13.8,141,"42""L X 42""W X 36""H, 18""W X 21 1/2""D X 39""H (Seat Ht: 25 1/2"", Seat Dp: 17"")",Transitional,"Leatherette, Solid Wood, Wood Veneer & Others",100% Polyester,,0,Eaton II,CM3001PT-5PK.jpg,Espresso,Transitional Style,"Solid Wood, Wood Veneer & Others",Padded Microfiber Seat,Espresso Finish,,,,,,,Counter height ladder back chairs accent this square table finished in espresso. Its conservative size makes it a perfect addition to a small dining area or kitchen. - -
5562,CM3012PT-5PK,451,Dining,Counter Height Tables,,,,5 Pc. Counter Ht. Table Set,Furniture of America Northvale II Transitional 5 Pc. Counter Ht. Table Set,VN,1,44.8,44.8,11,12.7,136.6,"42""L X 42""L X 36""H, 18""L X 21 1/2""W X 39""H (Seat Ht: 25 1/2"", Seat Dp: 17 1/4"")",Transitional,"Leatherette, Solid Wood, Wood Veneer & Others",,,0,Northvale II,CM3012PT-5PK.jpg,Espresso,Transitional Style,Slat Back Chair,Espresso Finish,Padded Leatherette Seat,"Solid Wood, Wood Veneer & Others",,,,,,This counter height square dining set comes with four chairs with leatherette seats. A simple slat back design and deep espresso finish give the chairs a classic feel. - -
5563,CM3502PT-5PK,452,Dining,Counter Height Tables,,,,Counter Ht. Table Set,Furniture of America FREEMAN II Transitional Counter Ht. Table Set,VN,1,46,45.5,12.3,14.8,140.8,"Table: 42""L X 42""W X 36""H, Chair: 18""W X 20 1/4""D X 41""H (Seat Ht: 24"", Seat Dp: 20 1/4"")",Transitional,"Leatherette, Solid Wood, Wood Veneer & Others",,,0,FREEMAN II,CM3502PT-5PK.jpg,Light Oak,Transitional Style,Leatherette Seat,"Solid Wood, Wood Veneer & Others",Light Oak Finish,,,,,,,"Whether its having friends over for a casual gathering or eating a meal with your family, this dining table set will make the perfect addition to your dining room. Matching chairs are padded with leatherette seats with a sturdy table supported by fo ur post legs. -"
5564,CM3930PT-5PK,452,Dining,Counter Height Tables,,,,5 Pc. Counter Ht. Table Set,Furniture of America Montclair II Transitional 5 Pc. Counter Ht. Table Set,VN,1,45,45,11.3,13.2,143,"42""L X 42""W X 36""H, 18""L X 22""W X 42""H (Seat Ht: 24 1/2"", Seat Dp: 17 1/4"")",Transitional,"Microfiber, Solid Wood, Wood Veneer & Others",100% Polyester,,0,Montclair II,CM3930PT-5PK.jpg,Dark Cherry,Transitional Style,Dark Cherry Finish,Padded Microfiber Seat,"Solid Wood, Wood Veneer & Others",,,,,,,"Transitional and stately, this counter height table fits four comfortably in straight back chairs with padded fabric seats and fabric insert in the back. Also available in regular height. - -"
5565,CM3131PT-3PK,453,Dining,Counter Height Tables,,,,3 Pc. Counter Ht. Table Set,Furniture of America JOLEEN Contemporary 3 Pc. Counter Ht. Table Set,CN,1,34.6,26.1,7.9,4.1,59.4,"32""W X 24""D X 36""H, 19""W X 13""D X 24""H (Seat Ht: 24 1/4"", Seat Dp: 11 1/2"")",Contemporary,"Metal, Wood Veneer & Others",,,0,JOLEEN,CM3131PT-3PK.jpg,Black,Contemporary Style,Faux Marble Table Top,Powder Coated Finish,Tufted Leatherette Stools,Metal & Wood Veneer,Black Finish,,,,,"For the space-conscious couple, this three-piece counter height dining set is the perfect fit. The metal framework provides long-lasting stability you can count on while the faux marble tabletop and faux leather seats balance effortlessly with the bl ack finish. -"
5567,CM3278PT,453,Dining,Counter Height Tables,Marble Top,,,Counter Ht. Table w/ Faux Marble,Furniture of America ROCKHAM II Contemporary Counter Ht. Table w/ Faux Marble,CN,1,38.3,38.3,4.3,3.6,56.22,"35 3/4""L X 35 3/4""W X 36""H",Contemporary,"Faux Marble, Solid Wood, Wood Veneer & Others",,,0,ROCKHAM II,CM3278PT.jpg,Black,Contemporary Style,Brown Crocodile Leatherette Chair,Faux Marble Top,"Solid Wood, Wood Veneer & Others",Black Finish,,,,,,One of a kind style for the ultra modern home. This dining set provides ample space for intimate dinner gatherings without compromising modern style. The crocodile leatherette offers a touch of contemporary feel while the faux marble top stands out a gainst the black finished legs. Also available in regular height. -
5569,CM3320PT,454,Dining,Counter Height Tables,,,,Mirror-Insert Square Counter Ht. Table,Furniture of America Evant II Contemporary Mirror-Insert Square Counter Ht. Table,CN,1,56.8,56.8,6.3,11.6,143,"53 1/2""L X 53 1/2""W X 36""H",Contemporary,"Lacquer, Mirror, Wood",,,0,Evant II,CM3320PT.jpg,Black,Contemporary Style,Table Top w/ Mirror,High Gloss Lacquer Coating,Black Finish,,,,,,,"A combination of straight lines and solid blacks makes this set the perfect complement to any contemporary home. The table top has an embedded mirror at the center, while the pewter leatherette chair has a minimalist keyhole design. Regular height av ailable. -"
5571,CM3559GY-PT,455,Dining,Counter Height Tables,,,,Counter Ht. Table,Furniture of America LUMINAR II Contemporary Counter Ht. Table,CN,1,57,57,6.8,12.8,147.2,"54""L X 54""W X 36""H",Contemporary,,,,0,LUMINAR II,CM3559GY-PT.jpg,Gray,Contemporary Style,Padded Leatherette Chair,3-Way LED Adjustable Lights,8mm Tempered Glass Insert,Ivory Leatherette Seat,"Solid Wood, Wood Veneer, Others*",Gray Finish,,,,Contemporary inspired with radiant lighting to perfectly show off the fine points of this table. This is accented with plush key-hole chairs and an illuminated table base. - -
5573,CM3559PT,455,Dining,Counter Height Tables,,,,Counter Ht. Table,Furniture of America LUMINAR II Contemporary Counter Ht. Table,CN,1,57,57,6.8,12.7,125.4,"54""L X 54""W X 36""H",Contemporary,"Glass, Solid Wood, Wood Veneer & Others",,,0,LUMINAR II,CM3559PT.jpg,Black,Contemporary Style,Padded Leatherette Chairs,3-Way LED Adjustable Lights,8mm Tempered Glass Insert,"Solid Wood, Wood Veneer & Others",Black Finish,,,,,Contemporary inspired with radiant lighting to perfectly show off the fine points of this table. This is accented with plush key-hole chairs and an illuminated table base. - -
