1,Item,Page 17-18,Categories,Product Type,Feature,Group Components,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
6212,CM6852-CH,583,Living,Chair,,,Chair,Furniture of America ESTER Contemporary Chair,CN,1,50,34.5,22,22,85,"51""L X 35""W X 33""H (Seat Ht: 18 7/8"", Seat Dp: 24 3/8"")",Contemporary,,,,0,ESTER,CM6852-CH.jpg,Gray,Contemporary Style,Tufted Design,Wooden Tapering Legs,Rolled Pillows Included,Fabric,Solid Wood & Others*,Gray,,,, A unique tufted design along the backrest creates a stylish pattern that enhances the visual appeal without detracting from the comfortable upholstery and its spacious arm structures. Each piece rests atop rounded tapering legs for sturdy support an d includes a pair of rolled pillows for added comfort and style. -
6213,CM6852-LV,583,Living,Love Seat,,,Love Seat,Furniture of America ESTER Contemporary Love Seat,CN,1,73,34.5,22,32.1,110,"73""L X 35""W X 33""H (Seat Ht: 18 7/8"", Seat Dp: 24 3/8"")",Contemporary,,,,0,ESTER,CM6852.jpg,Gray,Contemporary Style,Tufted Design,Wooden Tapering Legs,Rolled Pillows Included,Fabric,Solid Wood & Others*,Gray,,,, A unique tufted design along the backrest creates a stylish pattern that enhances the visual appeal without detracting from the comfortable upholstery and its spacious arm structures. Each piece rests atop rounded tapering legs for sturdy support an d includes a pair of rolled pillows for added comfort and style. -
6214,CM6852-SF,583,Living,Sofa,,,Sofa,Furniture of America ESTER Contemporary Sofa,CN,1,80,34.5,22,35.1,118,"81""L X 35""W X 33""H (Seat Ht: 18 7/8"", Seat Dp: 24 3/8"")",Contemporary,,,,0,ESTER,CM6852.jpg,Gray,Contemporary Style,Tufted Design,Wooden Tapering Legs,Rolled Pillows Included,Fabric,Solid Wood & Others*,Gray,,,, A unique tufted design along the backrest creates a stylish pattern that enhances the visual appeal without detracting from the comfortable upholstery and its spacious arm structures. Each piece rests atop rounded tapering legs for sturdy support an d includes a pair of rolled pillows for added comfort and style. -
6215,CM6134GY-CH,584,Living,Chair,,,"Chair, Gray",,CN,1,40,34,24.5,19.3,70.4,"40 1/4""L X 33""W X 34 1/2""H (SEAT DP: 22"", SEAT HT: 18"")",Midcentury Modern,Linen-like Fabric,,,0,Carin,CM6134GY-CH.jpg,Gray,Mid-Century Modern Style,Flared Arms,Wooden Tapering Legs,Tufting,Padded Linen-like Fabric,Gray,,,,,"Enhance your living room's contemporary appeal with this chic sofa set! Entirely upholstered in padded linen-like fabric, each piece features angled feet and armrests. Lean back against the button tufted backrest and let your worries drift away as yo u relax against the stylish foam-filled cushions. Available in two neutral colors. -"
6216,CM6134GY-LV,584,Living,Love Seat,,,"Love Seat, Gray",,CN,1,58,34,24.5,28,88,"58 1/2""L X 33""W X 34 1/2""H (SEAT DP: 22"", SEAT HT: 18"")",Midcentury Modern,Linen-like Fabric,,,0,Carin,CM6134GY.jpg,Gray,Mid-Century Modern Style,Flared Arms,Wooden Tapering Legs,Tufting,Padded Linen-like Fabric,Gray,,,,,"Enhance your living room's contemporary appeal with this chic sofa set! Entirely upholstered in padded linen-like fabric, each piece features angled feet and armrests. Lean back against the button tufted backrest and let your worries drift away as yo u relax against the stylish foam-filled cushions. Available in two neutral colors. -"
6217,CM6134GY-SF,584,Living,Sofa,,,"Sofa, Gray",,CN,1,76.5,34,24.5,36.9,114.4,"76 1/2""L X 33""W X 34 1/2""H (SEAT DP: 22"", SEAT HT: 18"")",Midcentury Modern,Linen-like Fabric,,,0,Carin,CM6134GY.jpg,Gray,Mid-Century Modern Style,Flared Arms,Wooden Tapering Legs,Tufting,Padded Linen-like Fabric,Gray,,,,,"Enhance your living room's contemporary appeal with this chic sofa set! Entirely upholstered in padded linen-like fabric, each piece features angled feet and armrests. Lean back against the button tufted backrest and let your worries drift away as yo u relax against the stylish foam-filled cushions. Available in two neutral colors. -"
6218,CM6134LG-CH,584,Living,Chair,,,"Chair, Light Gray",,CN,1,40,34,24.5,19.3,70.4,"40 1/4""L X 33""W X 34 1/2""H (SEAT DP: 22"", SEAT HT: 18"")",Midcentury Modern,Linen-like Fabric,,,0,Carin,CM6134LG-CH.jpg,Light Gray,Mid-Century Modern Style,Flared Arms,Wooden Tapering Legs,Tufting,Padded Linen-like Fabric,Light Gray,,,,,"Enhance your living room's contemporary appeal with this chic sofa set! Entirely upholstered in padded linen-like fabric, each piece features angled feet and armrests. Lean back against the button tufted backrest and let your worries drift away as yo u relax against the stylish foam-filled cushions. Available in two neutral colors. -"
6219,CM6134LG-LV,584,Living,Love Seat,,,"Love Seat, Light Gray",,CN,1,58,34,24.5,28,88,"58 1/2""L X 33""W X 34 1/2""H (SEAT DP: 22"", SEAT HT: 18"")",Midcentury Modern,Linen-like Fabric,,,0,Carin,CM6134LG.jpg,Light Gray,Mid-Century Modern Style,Flared Arms,Wooden Tapering Legs,Tufting,Padded Linen-like Fabric,Light Gray,,,,,"Enhance your living room's contemporary appeal with this chic sofa set! Entirely upholstered in padded linen-like fabric, each piece features angled feet and armrests. Lean back against the button tufted backrest and let your worries drift away as yo u relax against the stylish foam-filled cushions. Available in two neutral colors. -"
6220,CM6134LG-SF,584,Living,Sofa,,,"Sofa, Light Gray",,CN,1,76.5,34,24.5,36.9,114.4,"76 1/2""L X 33""W X 34 1/2""H (SEAT DP: 22"", SEAT HT: 18"")",Midcentury Modern,Linen-like Fabric,,,0,Carin,CM6134LG.jpg,Light Gray,Mid-Century Modern Style,Flared Arms,Wooden Tapering Legs,Tufting,Padded Linen-like Fabric,Light Gray,,,,,"Enhance your living room's contemporary appeal with this chic sofa set! Entirely upholstered in padded linen-like fabric, each piece features angled feet and armrests. Lean back against the button tufted backrest and let your worries drift away as yo u relax against the stylish foam-filled cushions. Available in two neutral colors. -"
6221,CM6035BK-CH,585,Living,Chair,,,"Chair, Black","Furniture of America LEIA Midcentury Modern Chair, Black",CN,1,42,38,33.5,30.9,70.4,"41""L X 38 1/2""W X 40 1/4""H",Midcentury Modern,,,,0,LEIA,CM6035BK.jpg,Black,Contemporary Style,Flared Armrests,Button Tufted Design,Slightly Reclined Back,Available in 4 Colors,,,,,,"Ultra stylish featuring a button tufted design with a slightly reclined back support, this sofa set is both contemporary and functional. - -"
6222,CM6035BK-LV,585,Living,Love Seat,,,"Love Seat, Black","Furniture of America LEIA Midcentury Modern Love Seat, Black",CN,1,64,38,33.5,47.1,99,"62 1/4""L X 38 1/2""W X 40 1/4""H",Midcentury Modern,,,,0,LEIA,CM6035BK.jpg,Black,Contemporary Style,Flared Armrests,Button Tufted Design,Slightly Reclined Back,Available in 4 Colors,,,,,,"Ultra stylish featuring a button tufted design with a slightly reclined back support, this sofa set is both contemporary and functional. - -"
6223,CM6035BK-SF,585,Living,Sofa,,,"Sofa, Black","Furniture of America LEIA Midcentury Modern Sofa, Black",CN,1,81,38,33.5,59.7,125,"80""L X 38 1/2""W X 40 1/4""H",Midcentury Modern,,,,0,LEIA,CM6035BK.jpg,Black,Contemporary Style,Flared Armrests,Button Tufted Design,Slightly Reclined Back,Available in 4 Colors,,,,,,"Ultra stylish featuring a button tufted design with a slightly reclined back support, this sofa set is both contemporary and functional. - -"
6224,CM6800-CH,585,Living,Chair,,,Chair,,CN,1,40.8,35,20.5,16.9,74.9,"40""L X 35 1/2""W X 35 1/2""H",Midcentury Mordern,Linen-like Fabric,,,0,Livvy,CM6800-CH.jpg,Mocha,Contemporary Style,Mid-Century Tapered Legs,Tufting,U-Shaped Base,Fabric,,,,,,"Modern design takes on a casual feel with this attractive sofa set. Sleek box cushions boast soft fabric upholstery and a tufted design for a clean, refi ned look that fi ts any sophisticated space. The angled peg legs are the main feature of this so fa set, providing a clear mid-century vibe that takes it to the next level. -"
6225,CM6800-LV,585,Living,Love Seat,,,Love Seat,,CN,1,67.5,35,20.5,28,101.2,"66 1/2""L X 35 1/2""W X 35 1/2""H",Midcentury Mordern,Linen-like Fabric,100% Polyester,,0,Livvy,CM6800.jpg,Mocha,Contemporary Style,Mid-Century Tapered Legs,Tufting,U-Shaped Base,Mocha,Pillows Included,Fabric,,,,"Modern design takes on a casual feel with this attractive sofa set. Sleek box cushions boast soft fabric upholstery and a tufted design for a clean, refi ned look that fi ts any sophisticated space. The angled peg legs are the main feature of this so fa set, providing a clear mid-century vibe that takes it to the next level. -"
6226,CM6800-SF,585,Living,Sofa,,,Sofa,,CN,1,86.8,35,20.5,36,125.4,"85""L X 35 1/2""W X 35 1/2""H",Midcentury Mordern,Linen-like Fabric,100% Polyester,,0,Livvy,CM6800.jpg,Mocha,Contemporary Style,Mid-Century Tapered Legs,Tufting,U-Shaped Base,Mocha,Pillows Included,Fabric,,,,"Modern design takes on a casual feel with this attractive sofa set. Sleek box cushions boast soft fabric upholstery and a tufted design for a clean, refi ned look that fi ts any sophisticated space. The angled peg legs are the main feature of this so fa set, providing a clear mid-century vibe that takes it to the next level. -"
6227,CM6505-CH,586,Living,Chair,,,Chair,Furniture of America KATE Mid-Century Modern Chair,CN,1,40.8,35,20.5,16.9,74.9,"40 1/2""L X 35 1/2""W X 39""H (Seat Ht: 19 3/4"", Seat Dp: 20 1/2"")",Mid-Century Modern,,,,0,KATE,CM6505-CH.jpg,Black,Mid-Century Modern Style,Tufting,Wooden Tapering Legs,U-Shaped Base,Leather Gel,Black,,,,,Modern design gets a retro twist with this fun modern chair with sleek leatherette upholstery and tapered legs. The U-shaped frame encompasses plush tufted cushions that are as attractive as they are comfortable. This mid-century modern inspired desi gn is sure to be a hit in any contemporary home! -
