row,sku
278,3970117
279,3970121
280,3970166
281,3970167
282,4010121
283,4030135
284,4030138
285,4030235
286,4030238
287,4070046
288,4070055
289,4070056
290,4070066
291,4070067
292,4120114
293,4120120
294,4120121
295,4120135
296,4120138
297,4380435
298,4380438
299,4380735
300,4380738
301,438XX21
302,4400022
303,4410016
304,4410017
305,4410034
306,4410046
307,4410071
308,4410077
309,4410084
310,4410085
311,4460125
312,4460135
313,4460136
314,4460138
315,4470025
316,4470125
317,4510113
318,4510135
319,4510138
320,4510160
321,4520021
322,4520121
323,4520221
324,4520308
325,4520310
326,4520316
327,4520317
328,4520321
329,4520325
330,4520366
331,4520367
332,4520383
333,4560046
334,4630160
335,4630260
336,4630460
337,4650025
338,4650035
339,4650038
340,4650125
341,4650135
342,4650138
343,4700214
344,4700220
345,4700235
346,4700238
347,4700239
348,4760008
349,4770014
350,4770020
351,4770035
352,4770038
353,4790025
354,4790074
355,4790086
356,4790087
357,4790088
358,4790098
359,4820028
360,4820089
361,4820094
362,4930014
363,4930023
364,4930035
365,4930038
366,5000425
367,5000525
368,5000625
369,5040446
370,5040455
371,5040456
372,5040466
373,5040467
374,5050114
375,5050120
376,5050135
377,5050138
378,5050139
379,5050314
380,5050320
381,5050335
382,5050338
383,5050339
384,5060214
385,5060216
386,5060217
387,5060223
388,5060246
389,5060255
390,5060256
391,5090313
392,5090314
393,5090315
394,5091013
395,5091014
396,5091015
397,5091113
398,5091114
399,5091115
400,5091213
401,5091214
402,5091215
403,5091313
404,5091314
405,5091315
406,5120225
407,5120248
408,5120249
409,5120325
410,5120348
411,5120349
412,5130213
413,5130214
414,5130215
415,5131013
416,5131014
417,5131015
418,5131113
419,5131114
420,5131115
421,5131213
422,5131214
423,5131215
424,5131313
425,5131314
426,5131315
427,5170221
428,5190215
429,5190221
430,5190235
431,5190238
432,5190239
433,5200220
434,5360113
435,5390111
436,5420214
437,5420221
438,5420223
439,5420235
440,5420238
441,5439913
442,5439915
443,5439918
444,5450128
445,5450148
446,5450167
447,5470411
448,5470416
449,5470417
450,5470423
451,5470460
452,5470466
453,5470467
454,551N314
455,551N320
456,551N335
457,551N338
458,5620213
459,5620215
460,5620218
461,5700239
462,5700314
463,5700320
464,5700335
465,5700338
466,5700339
467,5700355
468,5700356
469,5730014
470,5730020
471,5730035
472,5730038
473,5730060
474,5740101
475,5740146
476,5740163
477,5740175
478,5740177
479,5740190
480,5740198
481,5740301
482,5740346
483,5740363
484,5740375
485,5740377
486,5740390
487,5740398
488,5860225
489,5860325
490,5900114
491,5900120
492,5900135
493,5900138
494,5900139
495,5910414
496,5910420
497,5910435
498,5910438
499,5910439
500,5910508
501,5910516
502,5910517
503,5910566
504,5910567
505,5910569
506,5910570
507,5980214
508,5980220
509,5980235
510,5980238
511,6080514
512,6080518
513,6080520
514,6080535
515,6080538
516,6080539
517,6090516
518,6090517
519,6090519
520,6090540
521,6090541
522,6090546
523,6090557
524,6090577
525,6110214
526,6110220
527,6110235
528,6110238
529,6110239
530,6110314
531,6110320
532,6110335
533,6110338
534,6110339
535,611XX21
536,6160260
537,6160360
538,6160660
539,6190005
540,6190025
541,6190049
542,6190105
543,6190125
544,6190149
545,6230216
546,6230217
547,6230234
548,6230266
549,6230267
550,6230316
551,6230317
552,6230334
553,6230366
554,6230367
555,6230516
556,6230517
557,6230534
558,6230566
559,6230567
560,6240518
561,630XX21
562,6310013
563,6330325
564,6330387
565,6330388
566,6330394
567,6330396
568,6330398
569,6330425
570,6330487
571,6330488
572,6330494
573,6330496
574,6330498
575,6340314
576,6340320
577,6340335
578,6340338
579,6340360
580,6340361
581,6370425
582,6370525
583,6390539
584,6390639
585,6450035
586,6450038
587,6460514
588,6460520
589,6460535
590,6460538
591,6470213
592,6470214
593,6470215
594,6470313
595,6470314
596,6470315
597,6480413
598,6480414
599,6480415
600,6490408
601,6490416
602,6490417
603,6490434
604,6490466
605,6490467
606,6510308
607,6510346
608,6510351
609,6510508
610,6510546
611,6510551
612,6530614
613,6530623
614,6530635
615,6530638
616,6550225
617,6550325
618,6570108
619,6570116
620,6570117
621,6570134
622,6570155
623,6570156
624,6570175
625,6570176
626,6570177
627,6570199
628,6580614
629,6580620
630,6580635
631,6580638
632,6580639
633,6580714
634,6580720
635,6580735
636,6580738
637,6580739
638,6630319
639,6630340
640,6630341
641,6630346
642,6630357
643,6630358
644,6630362
645,6630377
646,6660229
647,6660329
648,6690335
649,6690338
650,6690339
651,6690435
652,6690438
653,6690439
654,6730225
655,6730425
656,6740235
657,6740238
658,6750525
659,6750535
660,6750538
661,6870418
662,6870435
663,6870468
664,689XX21
665,6910314
666,6910320
667,6910335
668,6910338
669,6910339
670,6920225
671,6920225W3
672,6920325
673,6920325W3
674,6930213
675,6930313
676,6950220
677,6950235
678,6950238
679,6950239
680,6950320
681,6950335
682,6950338
683,6950339
684,7041625
685,7041635
686,7041636
687,7041638
688,7140087
689,7140096
690,7140098
691,7180121
692,7180135
693,7180138
694,7200214
695,7200220
696,7200235
697,7200238
698,7380836
699,7380837
700,7380839
701,7410061
702,7410087
703,7410088
704,7410094
705,7410096
706,7450113
707,7450114
708,7450115
709,7460212
710,7460312
711,7520406
712,7530313
713,7530413
714,7530513
715,7600925
716,7600948
717,7600949
718,7630406
719,7640106
720,7640129
721,7790008
722,7790060
723,7800008
724,7800021
725,7800035
726,7800038
727,7800039
728,7810313
729,7810315
730,7810318
731,7840408
732,7840416
733,7840417
734,7840434
735,7840466
736,7840467
737,7840499
738,7850114
739,7850120
740,7850135
741,7850138
742,7920225
743,7920288
744,7920294
745,7940019
746,7940027
747,7940040
748,7940041
749,7940046
750,7940057
751,7940058
752,7940062
753,7940077
754,7942119
755,7942140
756,7942141
757,7942146
